name,space,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,minimum_nights,maximum_nights,reviews_per_month,host_acceptance_rate
City Room - Private & Comfy Bedroom,"Semi Private bedroom: https://www.airbnb.com/rooms/152259 Private Bedroom: https://www.airbnb.com/rooms/56859 Private Suite: https://www.airbnb.com/rooms/60666  Street View/Garden View: https://www.airbnb.com/rooms/128975 Private Penthouse:: https://www.airbnb.com/rooms/54544 Please take a moment to check them out, one of them may be a better fit for you. You will love this private bedroom in a 2 bedroom duplex brownstone apt. in Central Harlem section of NYC.  The room has a large closet, 5 drawer chest, cable TV, Night stand and lamp and yes a full size bed. The room has a shared bathroom and you will have access to a commercial type working kitchen (eat-In). This fabulously located two bedroom duplex apartment on the garden and parlor floors of a classic brownstone is clean, quiet and comfortable. You will have the south facing bedroom and a shared bathroom.  This room is perfectly located and set-up for tourists and those visiting for study or business.  You’re only minutes away fr",Harlem,40.81219,-73.94499,Apartment,Private room,1,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}",,$75.00,$40.00,1,30,1.85,100%
Modern comfort in art infused landmark Brownstone,"The apartment was featured on HGTV's ""What you get for your money"". A fully furnished modern apartment located in an amazing historical part of Bedstuy called ""Stuyvesant Heights"". Bed-Stuy is a great choice for travelers interested in friendly locals, cafes, bars and convenient public transport. In my two bedroom apartment, a single room is reserved for my guests complete with a private bathroom with all the standard amenities. I designed the space specifically to help guests feel a deeper sense of comfort, creativity, peace, and happiness.  The comfy bedroom is perfect for TWO people. You will surely feel amazed by the settings and overall design of this room. The room has a twin size trundle bed which can be separated for 2 twins when needed.  A well stocked shared kitchen with all the standard appliances(no microwave) will be accessible to the guest. A shared but quiet workspace is also available. Key Features: - Free high-speed Wi-Fi. - Standard private bathroom with shower and ot",Bedford-Stuyvesant,40.6829,-73.93549,Apartment,Private room,1,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Beach essentials""}",100,$71.00,$25.00,2,20,0.37,97%
Spacious Williamsburg Share w/ LOFT BED,"We are renting out this room in our large, sunny Brooklyn apartment!  A well appointed, recently refurbished, fully furnished, single-occupancy room.  Includes a ""full"" (or ""double"") bed, an amazingly comfortable feather-mattress, plenty of storage, large desk, full-length mirror, Pottery Barn 100% cotton bedding/linens included. Air-condtioning/heating included as well as free Wi-Fi high-speed internet. This is the second of 2 rooms that we rent out on airbnb (see our other listing: https://www.airbnb.com/rooms/39282). **Please note: This room is for a single occupant only. It's absolutely perfect for someone coming to new york for work or studies, internships, etc...    MUST LOVE CATS!! KITCHEN: We have a fully-stocked kitchen that you are absolutely welcome to use any time you want. We will offer you some cabinet and refrigerator space to store any groceries you might have. We have pots, pans, baking-pans, etc...   Includes microwave, blender, toaster-oven, tea-kettle, stove-top esp",Williamsburg,40.71065,-73.95087,Apartment,Private room,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Fire extinguisher"",Essentials,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Oven,Stove}",,$69.00,,4,60,1.13,99%
Cozy 2 br in sunny Fort Greene apt,"I bedroom available in 2 bedroom apt in the fantastic neighborhood of Fort Greene This is a much loved, sun filled apartment in the heart of Fort Greene, the bustling Brooklyn neighborhood full of cultural and artistic history -- it is most famously the inspiration for many Spike Lee films with its restored brownstones and dramatic stoops, from which kids sell lemonade and locals sell their eclectic wares on the weekend. The 'hood is now a favorite for HBO shows and indie film sets that casually rent out a beautiful brownstone just a few blocks over. The 2br apartment is located smack in between every train that runs to Manhattan and to neighboring Brooklyn hotspots, DUMBO, Williamsburg and Greenpoint. Mornings are dreamy in the comfy living room with floor to ceiling windows that bring in oodles of light. The new wood floors and 11ft high ceilings are distinctly ""Brooklyn"" and the kitchen is just spacious enough for an at-home meal or three. Step out to a friendly 'hood: within a bloc",Fort Greene,40.68656,-73.97525,Apartment,Private room,1,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,Stove,""Host greets you""}",,$85.00,$60.00,3,18,0.33,N/A
"Clean & bright 1BR in Cobble Hill, GREAT location!","My 1br apartment is located in the safe, friendly and lively Boerum Hill/Cobble Hill neighborhood of Brooklyn. It’s smack in the middle of two streets known for cute boutiques, trendy restaurants and bars, cafes, bookstores, cinemas and specialty food shops. Within a short and lovely walk, you can be in historic Brooklyn Heights to view the Statue of Liberty from the promenade, in trendy DUMBO for the famous pizza at Juliana’s (or Grimaldi’s depending if you know the real story!), or at various points along the stunning new Brooklyn Bridge Pier complex. I love the neighborhood and upon booking, you'll receive my list of favorite restaurants, cafés, shops, and other gems. Feel free to reach out with other questions on where to go, what to do, and what to see :) APARTMENT INFO: • Clean & bright with hardwood floors • Accommodates 1-3 guests comfortably • Bedroom has queen-sized bed, large closet with tons of hangers, and a console with drawers for your things • Living area has a sectiona",Cobble Hill,40.68926,-73.99386,Apartment,Entire home/apt,1,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Gym,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",500,$159.00,$60.00,2,240,2.12,51%
Quiet & Clean Retreat in the City,"Beautiful one bedroom right in the middle of all the action of the East Village!  The apartment is so quiet, you'll forget you are in the city.  Yet, when you walk outside the front door, you are in the middle of the liveliest block in New York, St. Marks Place!  Bright rooms and sparkling clean.  Cozy bedroom with Queen sized bed and new mattresses. THE APT:  - A Clean, bright, well equipped, nice sized 1 bedroom  - 11' ceilings make this apt feel very open and roomy.  - TV, appleTV, WiFi Internet, work desk, fully equipped kitchen  - Room to store clothes in closet.  Guest Rules:  - 1 or 2 people max  - CLEAN, RESPONSIBLE  - Considerate of other people in the building  - NO PARTIES / partying in the apt  - NON-SMOKER  - NO PETS  Transportation is very accessible (F line: 3 mins, 6 line: 5mins, R N Q lines: 6 mins) but you probably will not even find yourself needing to take transport, everything is in walking distance (Lower East Side, SOHO, Washington Square Park, Union Square, etc)",East Village,40.73012,-73.99053,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Smoke detector"",""Carbon monoxide detector"",Essentials,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Long term stays allowed""}",,$239.00,$125.00,4,365,0.06,50%
"Great new apt, close to everything","The apartment is located in the heart of Manhattan, close to anything you might want to visit! The neighborhood is Fabulous!  Within 10 minutes walking you can reach Central Park, Times Square, all Broadway Shows, MoMA, Rockefeller Center, Columbus Circle, the famous 5th Ave shopping area, fabulous restaurants and others.  Accessible subway lines – C, E, B, D, N, R, Q, W, 1  This is a brand new building  Everything is clean and well taken care of  Apartment is equipped with TV, wireless Internet, linens, towels, hair dryer, iron, soaps are complimentary.  Elevator building, Fully equipped kitchen, Laundromat in the building.  Granite/stainless steel kitchen, bath with JACUZZI TUB  The apartment can accommodate up to four people but it is ideal for a couple.  I am looking for responsible persons, neat and quiet, who will take good care of the apt. Should you need any further details please don't hesitate to contact me.",Hell's Kitchen,40.7672,-73.98508,Apartment,Entire home/apt,1,1,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Hot tub"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,Bathtub,""Window guards"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed""}",,$250.00,$100.00,3,365,1,93%
Huge Room - Luxury Doorman Building,"Our 3-bedroom apartment is located on 98th street right off Broadway. We are on the 6th floor of an elevator building.  The building has a 24 hour doorman and laundry facilities. The apartment also has a large living/dining room and nice-sized kosher or vegetarian kitchen.  Apartment  comes complete with: - Three double beds, one couch, one pullout couch - Bedding linens, towels, etc - Windows and direct sunlight in every room - Wireless Internet access (WiFi) Building has:  - 24 hour doorman - Elevator  - Laundry  - 2 blocks from express subway trains (10 minutes to Times Square, Broadway shows) - 1 block from various markets, banks, restaurants and pretty much the entire world - Short walk to Central Park and Riverside Park",Upper West Side,40.79696,-73.97047,Condominium,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Self check-in"",""Building staff"",""Hot water""}",,$70.00,$0.00,3,422,0.08,100%
PRIVATE Room on Historic Sugar Hill,"Private Room in spacious tranquil apartment.  Historic property is situated on a bluff, overlooking a long stretch of gorgeous park, on a quaint, tranquil and intimate street. Rates variable. Accommodates: Three Persons.   The second bed is a Serta brand inflatable with matress pad for added comfort and is for parties of three (3), however is available for parties of two (2) on request.  700 capacity swimming pool right in front of the apartment and newly renovated amphitheater--Free outdoor jazz concerts, featuring world renowned artists, part of the city's Summer Stage and Summer in the City Series,June-September.  Renovated apartment in landmark property.  Spacious 1,100 square feet. Very clean, well maintained, well equipped, super quiet and peaceful. *AMENITIES* -Elevator building.  -QUEEN bed, sleeps two persons. Television with premium cable plus HBO and Showtime. Desk, lamp, air conditioner during summer, and spacious closet.  House phone: Free unlimited nationwide and internat",Harlem,40.8251,-73.94287,Apartment,Private room,1.5,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Paid parking off premises"",""Pets allowed"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Outlet covers"",""Window guards"",""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Cleaning before checkout"",""No stairs or steps to enter"",""Host greets you"",""Shower gel"",""Baking sheet"",""Trash can""}",0,$60.00,$25.00,1,26,4.69,99%
South Slope Green,"Whether you’re looking for good restaurants and a beautiful park in walking distance, convenience to Manhattan by subway, healthy breakfast to start off the day, or comfortable accommodations, South Slope Green is the place for you to stay on your next trip to Brooklyn. * Full organic breakfast - many dietary needs supported (some require advance notice) * Two room suite with private in-suite bathroom (comfortable for 1 - 4 people) * Short walk to the F train at Prospect Park or to multiple bus lines * Microwave and mini-fridge * WiFi internet access * Cable TV * Hardwood floors throughout * Child-friendly - special child equipment available upon request * LGBTQ-friendly * One cat in the home but never in your rooms. * Great neighborhood: Great restaurants nearby, Brooklyn Museum, Brooklyn Academy of Music, Brooklyn Botanic Garden and much more. No smoking inside. Open from mid-September to May.",Windsor Terrace,40.65912,-73.9842,Townhouse,Private room,1,2,3,"{TV,""Cable TV"",Wifi,Breakfast,""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""High chair"",""Children’s books and toys"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed"",""Host greets you""}",350,$139.00,,2,30,0.28,75%
"Spacious 1BR, Adorable Clean Quiet","YOU HAVE TO BE HERE TO SEE HOW ZEN,  CLEAN AND INVITING THIS ATMOSPHERE IS... 2 people sleep comfortably.  * Strictly Non Smoking * OVERALL: - Super clean - Super quiet  - Newly renovated - Lots of light - Fast Wi-Fi  - Few steps at the entrance + 2 flights of stairs - 2 Air Conditionings - Excellent Heating System - Exposed brick walls - Queen bed in the bedroom    (2 adults sleep comfortably) - Comfortable sofa   (1 adult sleeps comfortably) - Clean sheets and towels - An empty closet, hangers, drawers - Dining room with kitchen area - Big dining table  - Plug and play speakers for iPods, iPads, laptops - Did I say very clean? (I'm a perfectionist :) - Description: LIVING ROOM • great sofa (1 person sleep comfortably - it does not open) • center table + computer desk + lamps + mirrors  • 2 great windows  • Eastern exposure  • Facing the lovely tree-lined Clinton Street    (still the living room is very quiet) DINING ROOM / KITCHEN AREA • big wooden table - seats 6 people comfortably ",Lower East Side,40.72052,-73.98589,Apartment,Entire home/apt,1,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Long term stays allowed"",Other}",,$150.00,$130.00,3,90,0.51,90%
"17 Flr. Manhattan Views, Nr. Subway","Ideal for Short Term travelers,UN Staff,Medical Professionals, Interns and  International Students. We are renting ONE fully furnished bedroom ( 11' x 12') in a 2 BR / 1 Bath spacious clutter-free apt (Phone number hidden by Airbnb) + sq ft), 17th fl, duplex-style, gut renovated, full hardwood floor apartment. Airy, Spacious & Floor to ceiling windows with open views from all rooms of Manhattan and the East River. Safe, family-like quiet, young urban professional mixed neighborhood ( mostly Doctors, Artists and UN staff). Shared Areas:  - Kitchen with New Stainless Steel Appliances like Dishwasher, 4 Stove & Oven with Large Refrigerator. - Toilet and Living Areas. - Elevator & Laundry in the Building - Professionally Managed / Maintained Building. - Great Friendly, world traveled,down to earth in our early 30s. We work late hours in health care and international trading, mostly away from home. We have lived in Mumbai, Kolkata, Beijing, Odessa besides making New York our home.  - Your R",Roosevelt Island,40.76193,-73.9501,Apartment,Private room,0,1,0,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Microwave,Refrigerator,""Dishes and silverware""}",,$120.00,$30.00,7,365,0.32,80%
One bedroom Apt. in NYC,Very quiet 1 bedroom in the middle of Manhattan.  Very nicely furnished.  It has a full bathroom and kitchen.  This apt. is a sanctuary in the middle of NYC.  The energy is quite peaceful. The apartment has a queen size bed in the bedroom with a day bed and trundle underneath it in the living room. It is on the 8th floor in an elevator doorman building.  It is 2 blocks from the subways and buses.  It's a location that is easy to walk to all places in the city.  One can easily walk uptown to all  the museums or downtown to the village.,Midtown,40.7589,-73.96991,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,Heating,""Family/kid friendly"",Washer,Dryer}",,$250.00,$100.00,30,365,0.72,100%
"Nice, clean, safe, convenient 3BR","3 bedroom/1bathroom brownstone apartment. 3 Blocks to the train to Manhattan and 25 minutes to the city. Very nice and safe neighborhood.  Free WIFI signal and satellite TV included.  Free use of basement pool table and foosball table. 1 block from shopping and conveniences. Bedroom 1: Queen poster bed  Bedroom 2: Queen size bed   Bedroom 3: Twin daybed with roll-out/pop-up trundle. Living room: Sleeper sofa. Bedrooms are ""railroad-style"" - This means you pass through one to get to the next, so are not very private. Accommodates up to 8 guests maximum. ",Ridgewood,40.70411,-73.89934,Apartment,Entire home/apt,1,3,1,"{Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,Essentials,""Self check-in"",Keypad,Microwave,""Coffee maker"",""Dishes and silverware""}",1100,$145.00,$100.00,4,730,0.02,55%
"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5","Hello,  We are renting our entire apartment. The apartment is a 2-bedroom, with full kitchen and bathroom, and a beautiful terrace with a BBQ. One room has a queen size bed, walk-in closet, ceiling fan, and a flat screen TV with an Apple TV (with Netflix).  The other room has a full size bed, desk and chair. The living room also has a large couch that can sleep one person pretty comfortably. We will provide clean linens, pillows, and towels  for all beds and up to 5 occupants.  There is also a spacious outdoor terrace where smoking is allowed. High speed internet, heating, and air conditioning is included. The apartment is a very quiet at night, and is only on the second floor walk-up. We don't have pets, or smoke in the apartment, and ask that you do not either. The apartment is well kept, and clean.  This is the perfect vacation space to rent for a family, or a group of couples or friends!It is ideal for vacationers looking to be in the middle of it all in NYC:  -We are conveniently ",Chinatown,40.71756,-73.99503,Apartment,Entire home/apt,1,2,3,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Hot water"",Other,""Paid parking on premises""}",,$250.00,,4,15,0.2,18%
The Cozy Brownstone in Harlem,"Congratulations! We are offering: An uncluttered immaculate room in a historic SAFE neighborhood, in a beautifully newly renovated brownstone, on a quiet and peaceful tree-lined street AND IT isn't full of someone else's stuff!! You get: -Your private bathroom -Private separate entrance -Quiet street -Free internet -Refrigerator -Desk and Desk chair -Private Jacuzzi -Separate private shower with marble seat -10 short blocks from Central Park -3 short blocks to Morningside Park -a 1/2 block to Mount Morris Park -Restaurants, Cafes and Bars all in walking distance -Close to Columbia University -Close ride from La Guardia Airport on the M60 bus, and from JFK on the A/C subway line. -Basic cable TV -Large closet -Wood floors, no carpet! -New bed -New dresser -New nightstand -NON SMOKING -Close proximity to 2,3 train (3 blocks) -15 minute ride to Times Square-42nd Street -Note: NO KITCHEN.",Harlem,40.80481,-73.94777,House,Private room,1,0,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Free parking on premises"",""Paid parking off premises"",""Pets allowed"",""Pets live on this property"",""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",""Suitable for events"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Window guards"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Long term stays allowed"",""Trash can""}",550,$150.00,,3,27,0.02,N/A
Spacious Greenwich Village Apt,"I am traveling frequently these days, so I want to give you a chance to enjoy my fantastic NYC home. The apartment is a large one bedroom with great light, a large living room space, large bedroom amd a newly renovated kitchen. It is fully furnished with a desk, dining table, sectional sofa, large flat screen television with a panoply of cable channels, wireless internet, a beautiful vintage bar, air-conditioners in the living room and bedroom, and a fully stocked kitchen with a high-end apartment oven, dishwasher and microwave. The water pressure in the shower is excellent. Apartment decor is a tasteful mix of modern pieces, midcentury modern and a bit of art deco.  The building has an elevator, laundry room, and common backyard.  It is located within walking distance to the most popular restaurants and bars downtown, with the NR train one block away, 6 train two blocks away, and the ACEFV three blocks away. This is an ideal place for a single person or a couple. Walking access to the",Greenwich Village,40.73194,-73.99474,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}",,$225.00,$100.00,5,365,0.11,50%
SpaHa Studio Monthly Rental,"This is a  Studio apartment has all the amenities you'll need.. it is 400 sq ft and it has a kitchen with a full size refrigerator,stove with an oven and a kitchen counter to eat or work on, a bathroom with a full size bathtub and you have your own seperate entrance. Located in trendy East Spa Ha district, we are located just two blocks from  the start of the one mile museum walk and Beautiful Central Park. Spa Ha is known for it's multicultural popular cafe's,bars,restaurant's and The Apollo Theater. In June we have The East Harlem International Film Festival which is very exciting and fresh.  Also, we have Madison Avenue and all it's splendor!! Famous fashion boutiques, salons and painting galleries.  One block away there is a private indoor parking for your car and  a laundromat across the street. Mount Sinai Hospital just a half mile from us in case your sick and don't feel well. All the necessities are all around us. This Victorian Brownstone has been recently remodeled yet retain",East Harlem,40.79163,-73.94573,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Wide hallways"",""Wide entrance for guests"",""Well-lit path to entrance"",""Host greets you""}",,$125.00,$125.00,28,28,1.73,78%
City Room - Private Luxury Suite,"Semi Private Bedroom: https://www.airbnb.com/rooms/152259 Private Comfy Bedroom: https://www.airbnb.com/rooms/56859 Private Luxury Suite: https://www.airbnb.com/rooms/60666  Street View: https://www.airbnb.com/rooms/128975 Private Penthouse: https://www.airbnb.com/rooms/54544 Please take a moment to check them out, one of them may be a better fit for you. This fabulously located two bedroom duplex apartment on the garden and parlor floors of a classic brownstone is clean, quiet and comfortable. You will have the northern facing bedroom with its own private EN-Suite bathroom.  This room is perfectly located and set-up for tourists and those visiting for study or business.  You’re only minutes away from Times Square via the subway at 125th St., and after a day enjoying the attractions of New York City, you’ll love coming back to relax in the sunny living area, catch up with friends at home via the free WiFi connection, watch some television, soak in the tub or take a quick nap on the com",Harlem,40.8118,-73.94434,Apartment,Private room,1,1,2,"{TV,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}",,$110.00,$40.00,1,30,1.92,100%
Private Room/bath Luxurious Harlem,"Nice people welcome!  Come and enjoy a luxurious urban experience in this spacious, sunny, Harlem apartment with views of the roof gardens of the neigboring building.  How cool is that?  A private room/bath is available in this large 2 bedroom apartment, with elevator access.  A luxury queen size  aerobed is waiting for you with fresh 400+ count linens. The possibility to add another person on camping mat is available, as well as a modern kitchen with dishwasher, full bathtub/shower for soaking after a long day on your feet or a terrific night of dancing, a 24 hr. doorman service, outdoor garden and parking garage located in the building.  We are located in a quiet neighborhood perfect for sleeping after a full day of playing in the City! Our apartment is on 135th St between St. Nicholas and Fredrick Douglass, 30 seconds by foot from subway (B,C trains), 3 blocks from 2,3 subway, 20 mins to midtown. It is three subway stops from Central Park. Lincoln Center 15 mins by subway.  Times Sq",Harlem,40.81583,-73.94707,Apartment,Private room,1,1,1,"{Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Doorman,Elevator,Heating,Washer,Dryer,Essentials,Shampoo,""Extra pillows and blankets"",""Paid parking on premises""}",,$175.00,$70.00,2,365,0.17,67%
The gem of the East Village,"My lovely, spacious, high ceiling 1 bedroom apartment is located in the middle of the bohemian, eclectic, energetic East Village, while tucked away on a quiet street next to the beautiful Tompkins Square Park. The best of NYC, It doesn't get better than this in NYC! :) You get an entire 1 bedroom apartment to yourself with the following included: Heat, Water, Wireless Internet An incredibly comfy full-sized bed with box spring---Blanket is included! Additional furnishings as seen in photos  Full use of kitchen, large fridge, and utensils  Spacious bathroom with great water pressure! Located on a quiet, peaceful, tree-lined street with quiet, respectful neighbors  Second floor walk-up This is a fantastic location! The apartment is right next to the beautiful Tompkins Square Park, in the heart of the best food, night, and bar scene of the famously fun & hip East Village  It is walking distance to the 6, L, F trains (and several great bus lines around the corner), Union Square, Greenwich ",East Village,40.72654,-73.98049,Apartment,Entire home/apt,1,1,2,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Window guards"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Trash can""}",,$99.00,$110.00,2,1125,1.34,98%
"Bright and spacious, garden below!","Wonderful home base for your vacation in New York. 1 large bedroom, separate living room with twin pull-out bed, tiny toddler bedroom now with toddler-bunk bed! Optional travel crib. Easy to get anywhere in town with multiple trains nearby, a few minutes walk from Columbia University. * Huge bedroom with queen-sized bed * large flat-screen TV (no cable but Chromecast to stream from your phone/tablet/computer) * Can sleep up to 6 in a pinch  * Kid friendly but space looks like it's for adults * Second floor walk-up * Large fully-equipped kitchen and dining area. Lots of counter space, microwave, coffee maker * Enormous windows in every room -- lots of light and most overlook the cute community garden below. *WiFi * An eclectic neighborhood with new restaurants, bars, cafes and shops opening all the time -- just two blocks from Central Park, and very convenient to the B, C, and 1 subways! 7 minute walk to Columbia University. See pictures to get a feel for the place. (There have been a f",Upper West Side,40.80021,-73.96071,Apartment,Entire home/apt,1,3,3,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Laptop friendly workspace"",""Hot water"",Other}",,$195.00,$100.00,4,1125,0.04,N/A
